year,observed,original_bau2,fitted,original_bau,forecast_median,p10,p90,alternate_bau,sensitivity_low,sensitivity_high,benchmark,hybrid_2026
2038,,75.008068,,63.722702,110.74081,105.70466,115.28518,,105.70466,115.28518,,110.74081
2039,,72.586646,,62.513853,110.55837,104.61714,115.62174,,104.61714,115.62174,,110.55837
2040,,70.047182,,61.500713,110.25958,103.42464,115.90911,,103.42464,115.90911,,110.25958
2041,,67.408086,,60.687561,109.84474,102.13177,116.16563,,102.13177,116.16563,,109.84474
2042,,64.448681,,60.075524,109.30316,100.76419,116.3788,,100.76419,116.3788,,109.30316
2043,,61.353621,,59.167053,108.46669,99.39735,116.46262,,99.39735,116.46262,,108.46669
2044,,58.248413,,58.034601,107.53015,98.030226,116.42324,,98.030226,116.42324,,107.53015
2045,,55.142245,,57.141894,106.47689,96.523856,116.26102,,96.523856,116.26102,,106.47689
2046,,52.066948,,56.277025,105.30523,94.958957,115.85242,,94.958957,115.85242,,105.30523
2047,,49.05758,,55.44181,104.01909,93.447113,115.29848,,93.447113,115.29848,,104.01909
2048,,46.173864,,54.653986,102.63255,92.035893,114.6479,,92.035893,114.6479,,102.63255
2049,,43.407416,,53.922395,101.16072,90.775831,113.9048,,90.775831,113.9048,,101.16072
2050,,40.597554,,53.250045,99.653682,89.666597,113.03958,,89.666597,113.03958,,99.653682
2051,,37.856123,,52.636767,98.159828,88.958492,112.05409,,88.958492,112.05409,,98.159828
2052,,35.263932,,52.080932,96.626694,88.847485,110.95785,,88.847485,110.95785,,96.626694
2053,,32.877281,,51.588662,95.094124,89.059991,109.77041,,89.059991,109.77041,,95.094124
2054,,30.718194,,51.163353,93.608483,89.294899,108.96696,,89.294899,108.96696,,93.608483
2055,,28.894383,,50.800387,92.181412,88.567911,108.34169,,88.567911,108.34169,,92.181412
2056,,27.828474,,50.489603,90.833133,88.239229,107.59415,,88.239229,107.59415,,90.833133
2057,,27.271121,,50.216938,89.606218,88.09406,106.7529,,88.09406,106.7529,,89.606218
2058,,27.052367,,49.983565,88.501483,88.239537,105.54523,,88.239537,105.54523,,88.501483
2059,,27.074688,,49.433703,87.517834,87.637349,104.16944,,87.637349,104.16944,,87.517834
2060,,27.276339,,48.974154,86.653924,86.925739,102.88552,,86.925739,102.88552,,86.653924
2061,,27.614429,,48.580594,85.93476,86.35559,101.5034,,86.35559,101.5034,,85.93476
2062,,28.055994,,48.22753,85.383201,85.94356,100.84811,,85.94356,100.84811,,85.383201
2063,,28.57645,,47.906164,85.086016,85.764783,101.33315,,85.764783,101.33315,,85.086016
2064,,29.158153,,47.612907,85.273762,86.024845,102.23343,,86.024845,102.23343,,85.273762
2065,,29.787667,,47.345797,85.716553,86.490816,103.62801,,86.490816,103.62801,,85.716553
2066,,30.452977,,47.103385,86.327927,86.996949,105.13069,,86.996949,105.13069,,86.327927
2067,,31.145989,,46.884395,87.05914,87.604309,106.6716,,87.604309,106.6716,,87.05914
2068,,31.860412,,46.687624,87.873393,88.225322,108.2514,,88.225322,108.2514,,87.873393
2069,,32.595053,,46.511928,88.45472,88.637893,109.86853,,88.637893,109.86853,,88.45472
2070,,33.354216,,46.356217,89.066384,88.510373,111.52129,,88.510373,111.52129,,89.066384
2071,,34.139642,,46.219463,89.694821,87.941571,113.2072,,87.941571,113.2072,,89.694821
2072,,34.83342,,46.099732,90.325963,87.186357,114.923,,87.186357,114.923,,90.325963
