CountryCode,Country,Title,Note
398,Kazakhstan,Note,Index calculated out of percentages to the previous month
398,Kazakhstan,Source,Industrial production statistics
400,Jordan,Data Supplier,The Hashemite Kingdom of Jordan Department of Statistics DOS
400,Jordan,Source,Monthly quantitative Industrial Production Index
404,Kenya,Data Supplier,Kenya National Bureau of Statistics
404,Kenya,Note,Index calculated with GDP
404,Kenya,Source,GDP National Accounts constant prices 2016
410,Republic of Korea,Data Supplier,Korean Statistical Information Service KOSIS
410,Republic of Korea,Source,Monthly Survey of Mining And Manufacturing IIP by Industry
412,Kosovo,Data Supplier,Kosovo Agency of Statistics
412,Kosovo,Source,Quarterly Gross Domestic Product by activities at constant prices
414,Kuwait,Data Supplier,Central statistical Bureau Kuwait
414,Kuwait,Source,GDP at constant prices 2010
417,Kyrgyzstan,Data Supplier," National Statistical Committee of the Kyrgyz Republic"
417,Kyrgyzstan,Source,Volume indices of industrial production by economic activity
418,Lao People's Democratic Republic,Data Supplier,Lao Statistics Bureau Laos Statistical Information Service
418,Lao People's Democratic Republic,Source,Gross Domestic Product at Constant Prices by Economic Activity
426,Lesotho,Data Supplier,Lesotho Bureau of Statistics
426,Lesotho,Source,Quarterly Gross Domestic Product
428,Latvia,Data Supplier,Central Statistical Bureau of Latvia
428,Latvia,Note,Data obtained via Eurostat.
428,Latvia,Source,Index of industrial production
430,Liberia,Data Supplier,Lisgis Liberia Institute of Statistics and Geo-Information Services
430,Liberia,Source,Gross Domestic Product at Constant Prices
440,Lithuania,Data Supplier,State Data Agency (Statistics Lithuania)
440,Lithuania,Note,Data obtained via Eurostat.
440,Lithuania,Source,Index of industrial production
442,Luxembourg,Data Supplier,Service Cetnral de la Statistique et des Etudes economiques
442,Luxembourg,Note,Data obtained via Eurostat.
442,Luxembourg,Source,Index of industrial production
446,"China, Macao SAR",Data Supplier,Government of Macao Special Administrative Region Statistics and Census Service
446,"China, Macao SAR",Source,Industrial Production Index
450,Madagascar,Data Supplier,Institut National de Statistique de Madagascar
450,Madagascar,Source,Gross Value Added at constant prices
454,Malawi,Data Supplier,National statistical office Malawi
454,Malawi,Source,GDP by economic activity
458,Malaysia,Data Supplier,Department of Statistics Malaysia
458,Malaysia,Source,Industrial Production Index (IPI) and Sector Indices (2015=100)
462,Maldives,Data Supplier,Maldives Bureau of Statistics
462,Maldives,Source,Gross domestic product (at constant prices) by kind of activity
466,Mali,Data Supplier,Institut national de la statistique
466,Mali,Source,Quarterly GDP with chained prices
470,Malta,Data Supplier,National Statistics Office
470,Malta,Note,Data obtained via Eurostat.
470,Malta,Source,Index of industrial production
478,Mauritania,Data Supplier,Republique Islamique de Mauritanie office national de la statistique
478,Mauritania,Source,Indice de la Production industrielle IPI
480,Mauritius,Data Supplier,Statistics Mauritius
480,Mauritius,Source,Index of industrial production by main industry group
484,Mexico,Data Supplier,Instituto Nacional de Estadistica y Geografia
484,Mexico,Source,Short-term indicators for industrial activity
496,Mongolia,Data Supplier,National Statistics Office of Mongolia
496,Mongolia,Source,IPI Industrial Production Indices by divisions 2015=100
498,Republic of Moldova,Data Supplier,Statistica Moldovei
498,Republic of Moldova,Source,Volume indices of industrial production
499,Montenegro,Data Supplier,Statistical Office of Montenegro
499,Montenegro,Note,Data obtained via Eurostat.
499,Montenegro,Source,Index of industrial production
500,Montserrat,Data Supplier,Statistics Department Montserrat
500,Montserrat,Source,Gross domestic product by economic activity in constant prices
504,Morocco,Data Supplier,Moroccan High Commission for Planning
504,Morocco,Source,"Indice de la production industrielle, energetique et miniere"
512,Oman,Data Supplier,National centre for statistics and information sultanate of Oman
512,Oman,Source,Gross Domestic Product (GDP) by economic activity at constant prices
516,Namibia,Data Supplier,Namibia Statistics Agency
516,Namibia,Note,Index calculated with GDP
516,Namibia,Source,Gross domestic product by activity Constant 2015 prices
520,Nauru,Data Supplier,Nauru Bureau of Statistics Ministry of Finance
520,Nauru,Note,Shifted fiscal year
520,Nauru,Source,Gross Domestic Product (GDP) by industry at constant prices
524,Nepal,Data Supplier,Central Bureau of Statistics
524,Nepal,Note,Diverging fiscal year
524,Nepal,Source,Manufacturing Production Index
528,Netherlands (Kingdom of the),Data Supplier,Centraal Bureau voor de Statistiek
528,Netherlands (Kingdom of the),Note,Data obtained via Eurostat.
528,Netherlands (Kingdom of the),Source,Index of industrial production
548,Vanuatu,Data Supplier,Vanuatu National Statistics Office VNSO
548,Vanuatu,Source,Gross Domestic Product (GDP) by Industry
554,New Zealand,Data Supplier,Stats NZ Tatauranga Aotearoa
554,New Zealand,Source,Index of Industrial Production IIP
558,Nicaragua,Data Supplier,Banco Central de Nicaragua
558,Nicaragua,Source,Monthly economic activity index IMAE reference 2006
562,Niger,Data Supplier,Ministere du Plan - Institut national de la statistique
562,Niger,Source,Indice Harmonise de la production industrielle 2012=100
566,Nigeria,Data Supplier,NBS National Bureau of Statistics
566,Nigeria,Source,Nigerian Gross Domestic Product
578,Norway,Data Supplier,"Statistics Norway (SSB) "
578,Norway,Note,Data obtained via Eurostat.
578,Norway,Source,Index of industrial production
584,Marshall Islands,Data Supplier,"Economic Policy, Planning and Statistics Office"
584,Marshall Islands,Source,Gross Domestic Product (GDP) by industry
585,Palau,Data Supplier,Government of Republic of Palau
585,Palau,Source,Gross Domestic Product by Industry
586,Pakistan,Data Supplier,Pakistan Bureau of Statistics Government of Pakistan
586,Pakistan,Source,Quantum Index of Large Scale Manufacturing Industries
591,Panama,Data Supplier,Institut national de estatistica y censu
591,Panama,Source,Gross Domestic Product by economic activity
598,Papua New Guinea,Data Supplier,National Statistical Office
598,Papua New Guinea,Source,Industry value added at constant prices
600,Paraguay,Data Supplier,Banco Central del Paraguay
600,Paraguay,Source,Gross Domestic Product by constant prices
604,Peru,Data Supplier,INEI PERU National Institute of Statistics and Informatics
604,Peru,Source,Indice Mensual de la Produccion Nacional
608,Philippines,Data Supplier,Philippines Statistics Authority
608,Philippines,Source,Volume of Production Index VoPI Year-on-Year Growth Rates
616,Poland,Data Supplier,Statistics Poland
616,Poland,Note,Data obtained via Eurostat.
616,Poland,Source,Index of industrial production
620,Portugal,Data Supplier,Instituto Nacional de Estadistica
620,Portugal,Note,Data obtained via Eurostat.
620,Portugal,Source,Index of industrial production
626,Timor-Leste,Data Supplier,Instituto nacional de estatistca Timor-Leste
626,Timor-Leste,Source,Value added by industry
634,Qatar,Data Supplier,Planning and Statistics Authority Qatar
634,Qatar,Source,Index of industrial production base 2018
642,Romania,Data Supplier,Institutul National de Statistica
642,Romania,Note,Data obtained via Eurostat.
642,Romania,Source,Index of industrial production
643,Russian Federation,Data Supplier,Rosstat Federal State Statistics Service
643,Russian Federation,Note,Index calculated out of percentages to the corresponding month of the previous year
643,Russian Federation,Source,Production indices for individual types of economic activity in the Russian Federation
646,Rwanda,Data Supplier,National Institute of Statistics Rwanda
646,Rwanda,Source,Index Industrial Production formal activity  2024=100  monthly
659,Saint Kitts and Nevis,Data Supplier,"Department of Statistics, ministry of sustainable development"
659,Saint Kitts and Nevis,Source,Gross Domestic Product (GDP) at constant prices
662,Saint Lucia,Data Supplier,The Central Statistical office of Saint Lucia
662,Saint Lucia,Source,Gross Domestic Product (GDP) at constant prices
682,Saudi Arabia,Data Supplier,General Authority for Statistics Kingdom of Saudi Arabia
682,Saudi Arabia,Source,Industrial Production Index
686,Senegal,Data Supplier,L’Agence nationale de la Statistique et de la Démographie (ANSD)
686,Senegal,Source,Indice Harmonise de la Production Industrielle (IHPI) base 2015
688,Serbia,Data Supplier,Statistical Office of the Republic of Serbia
688,Serbia,Note,Data obtained via Eurostat.
688,Serbia,Source,Index of industrial production
690,Seychelles,Data Supplier,National Bureau of Statistics Seychelles
690,Seychelles,Source,Industrial Production Index
694,Sierra Leone,Data Supplier,Statistics Sierra Leone
694,Sierra Leone,Source,Gross Domestic Product by economic activity
702,Singapore,Data Supplier,Department of Statistics Singapore
702,Singapore,Source,Index Of Industrial Production
703,Slovakia,Data Supplier,Statistical office of the slovak republic
703,Slovakia,Note,Original data is working day adjusted.
703,Slovakia,Source,"Industrial production average month of 2021=100 adjusted - monthly "
704,Viet Nam,Data Supplier,General statistics office of Viet Nam
704,Viet Nam,Source,Monthly Index of Industrial Production
705,Slovenia,Data Supplier,Statistical Office of the Republic of Slovenia
705,Slovenia,Note,Data obtained via Eurostat.
705,Slovenia,Source,Index of industrial production
710,South Africa,Data Supplier,STATS SA Statistics South Africa
710,South Africa,Source,Indices of physical volume production
716,Zimbabwe,Data Supplier,Zimbabwe National Statistical Agency
716,Zimbabwe,Source,GDP at Constant Prices
724,Spain,Data Supplier,Instituto Nacional de Estadistica (INE)
724,Spain,Note,Data obtained via Eurostat.
724,Spain,Source,Index of industrial production
748,Eswatini,Data Supplier,Ministry of economic planning and development
748,Eswatini,Source,Gross Domestic Product by Economic Activity
752,Sweden,Data Supplier,Statistics Sweden (SCB)
752,Sweden,Note,Data obtained via Eurostat.
752,Sweden,Source,Index of industrial production
756,Switzerland,Note,Data obtained via Eurostat.
756,Switzerland,Source,Index of industrial production
762,Tajikistan,Data Supplier,Agency on statistics under the President of the Republic of Tajikistan
762,Tajikistan,Source,Industrial output by sector
764,Thailand,Data Supplier,The Office of Industrial Economics
